QTY,Position,Cost,MA,ST,AG,PA,AV,Skills and Traits,Pri,Sec
0-12,Human Lineman,50000,6,3,3,4,9,–,G,AS
0-1,Human Thrower,80000,6,3,3,3,9,"Animosity (Dwarf and Halfling), Pass, Sure Hands",GP,AS
0-1,Human Catcher,65000,8,2,3,5,8,"Animosity (Dwarf and Halfling), Catch, Dodge",AG,S
0-1,Human Blitzer,67000,7,3,3,4,9,"Animosity (Dwarf and Halfling), Block",GS,A
0-2,Dwarf Blocker,75000,4,3,4,5,10,"Arm Bar, Brawler, Loner (3+), Thick Skull",GS,A
0-1,Dwarf Runner,85000,6,3,3,4,9,"Loner (3+), Sure Hands, Thick Skull",GP,AS
0-1,Dwarf Blitzer,80000,5,3,3,4,10,"Block, Loner (3+), Thick Skull",GS,A
0-1,Troll Slayer,95000,5,3,4,–,9,"Block, Dauntless, Frenzy, Loner (3+), Thick Skull",GS,A
0-2,Halfling,30000,5,2,3,4,7,"Animosity (Dwarf and Human), Dodge, Right Stuff, Stunty",A,GS
0-1,Ogre,140000,5,5,4,5,10,"Bone Head, Loner (4+), Mighty Blow (1+), Thick Skull, Throw Team Mate",S,AG
0-1,Altern Forest Treeman,120000,2,6,5,5,11,"Loner (4+), Mighty Blow (+1), Stand Firm, Strong Arm, Take Root, Thick Skull, Throw Team Mate, Timmm-ber!",S,AGP
0-8,ReRolls,70000,,,,,,Apothecary: Yes,,
